,playerShort,birthday,height,weight,position,photoID,rater1,rater2,skintone
728,granero_2,02.07.1987,179.0,77.0,Center Midfielder,46516.jpg,0.0,0.0,0.0
729,granit-xhaka,27.09.1992,185.0,82.0,Center Midfielder,166663.jpg,0.0,0.25,0.125
732,gregory-bourillon,01.07.1984,187.0,76.0,Center Back,11306.jpg,0.25,0.25,0.25
734,gregory-pujol,25.01.1980,183.0,70.0,Center Forward,11692.jpg,0.25,0.25,0.25
735,gregory-sertic,05.08.1989,181.0,69.0,Left Midfielder,141583.jpg,0.0,0.25,0.125
736,gregory-van-der-wiel,03.02.1988,172.0,69.0,Center Back,78699.jpg,0.5,0.5,0.5
738,guaita,18.02.1987,190.0,80.0,Goalkeeper,125471.jpg,0.25,0.25,0.25
739,gueida-fofana,16.05.1991,182.0,74.0,,150431.jpg,1.0,1.0,1.0
740,guillaume-hoarau,05.03.1984,191.0,80.0,Center Forward,60000.jpg,0.5,0.5,0.5
741,guillaume-lacour,02.08.1980,173.0,66.0,,11407.jpg,0.0,0.0,0.0
742,guillermo-ochoa,13.07.1985,183.0,73.0,,35044.jpg,0.0,0.0,0.0
744,gurpegi,19.08.1980,181.0,77.0,Defensive Midfielder,12219.jpg,0.0,0.25,0.125
745,gustavo-cabral,14.10.1985,184.0,82.0,Center Back,69125.jpg,0.5,0.5,0.5
746,gustavo-munua,27.01.1978,188.0,87.0,Goalkeeper,1377.jpg,0.5,0.5,0.5
747,guy-demel,13.06.1981,187.0,83.0,Right Fullback,587.jpg,1.0,1.0,1.0
748,guy-ndy-assembe,28.02.1986,184.0,79.0,Goalkeeper,88250.jpg,0.75,1.0,0.875
749,gylfi-sigurdsson,08.09.1989,186.0,77.0,Attacking Midfielder,99196.jpg,0.0,0.0,0.0
750,hadi-sacko,24.03.1994,183.0,79.0,,216701.jpg,0.75,0.75,0.75
751,hajime-hosogai,10.06.1986,177.0,69.0,Defensive Midfielder,45994.jpg,0.25,0.25,0.25
753,hanno-balitsch,02.01.1981,182.0,80.0,Defensive Midfielder,461.jpg,0.0,0.0,0.0
754,haris-vuckic,21.08.1992,187.0,80.0,,120168.jpg,0.25,0.25,0.25
755,harry-kane,28.07.1993,183.0,65.0,,179293.jpg,0.25,0.25,0.25
756,harry-novillo,11.02.1992,182.0,80.0,,170430.jpg,0.5,0.75,0.625
757,hassan-yebda,14.05.1984,187.0,80.0,Center Midfielder,11323.jpg,0.0,0.0,0.0
758,hatem-ben-arfa,07.03.1987,177.0,69.0,Left Midfielder,24109.jpg,0.25,0.25,0.25
759,havard-nordtveit,21.06.1990,188.0,85.0,Defensive Midfielder,86321.jpg,0.0,0.0,0.0
760,hector-moreno,17.01.1988,184.0,80.0,Center Back,43714.jpg,0.25,0.5,0.375
761,hedwiges-maduro,13.02.1985,183.0,84.0,Defensive Midfielder,24412.jpg,0.25,0.5,0.375
762,heiko-butscher,28.07.1980,189.0,86.0,Center Back,12460.jpg,0.0,0.0,0.0
763,heiko-westermann,14.08.1983,190.0,87.0,Center Back,2256.jpg,0.25,0.25,0.25
764,heinrich-schmidtgal,20.11.1985,174.0,78.0,Left Fullback,33319.jpg,0.0,0.0,0.0
765,heinz-mueller,30.05.1978,196.0,94.0,Goalkeeper,894.jpg,0.0,0.25,0.125
766,helder-postiga,02.08.1982,182.0,74.0,Center Forward,10115.jpg,0.25,0.25,0.25
768,henri-bedimo,04.06.1984,180.0,77.0,Left Fullback,17383.jpg,0.75,0.75,0.75
769,henri-saivet,26.10.1990,174.0,73.0,Right Winger,86346.jpg,1.0,1.0,1.0
770,henrique,02.05.1983,188.0,87.0,Center Back,38666.jpg,0.75,0.75,0.75
772,heung-min-son,08.07.1992,183.0,76.0,Right Winger,163347.jpg,0.25,0.5,0.375
773,hilario,21.10.1975,189.0,85.0,Goalkeeper,10093.jpg,0.0,0.25,0.125
774,hilton,13.09.1977,182.0,73.0,Center Back,19306.jpg,0.25,0.25,0.25
775,hiroki-sakai,12.04.1990,184.0,70.0,,136848.jpg,0.25,0.25,0.25
776,hiroshi-kiyotake,12.11.1989,172.0,63.0,Attacking Midfielder,114461.jpg,0.5,0.5,0.5
778,holger-badstuber,13.03.1989,190.0,83.0,Center Back,89329.jpg,0.0,0.0,0.0
779,hrvoje-cale,04.03.1985,184.0,74.0,Left Fullback,15764.jpg,0.0,0.25,0.125
780,hugo-fraile,16.03.1987,176.0,73.0,,159761.jpg,0.25,0.25,0.25
781,hugo-lloris,26.12.1986,186.0,73.0,Goalkeeper,36826.jpg,0.0,0.25,0.125
782,hugo-mallo,22.06.1991,173.0,69.0,Right Fullback,152667.jpg,0.25,0.5,0.375
784,iago-aspas,01.08.1987,176.0,67.0,,144093.jpg,0.25,0.25,0.25
785,iago-falque,04.01.1990,173.0,67.0,Left Midfielder,124158.jpg,0.25,0.25,0.25
786,ian-harte,31.08.1977,177.0,78.0,,1168.jpg,0.0,0.0,0.0
787,ibai,11.11.1989,177.0,72.0,Left Winger,171366.jpg,0.0,0.0,0.0
788,ibrahim-afellay,02.04.1986,180.0,76.0,Attacking Midfielder,22074.jpg,0.5,0.5,0.5
789,ibrahima-traore,21.04.1988,172.0,62.0,Left Midfielder,73725.jpg,1.0,1.0,1.0
790,idrissa-gueye,26.09.1989,174.0,64.0,Defensive Midfielder,170589.jpg,1.0,1.0,1.0
791,ignasi-miquel,28.09.1992,193.0,85.0,Center Back,180985.jpg,0.0,0.0,0.0
792,igor-de-camargo,12.05.1983,187.0,83.0,Center Forward,4002.jpg,0.5,0.5,0.5
793,igor-martinez,19.07.1989,170.0,65.0,Attacking Midfielder,125095.jpg,0.0,0.25,0.125
795,iker-casillas,20.05.1981,185.0,84.0,Goalkeeper,1385.jpg,0.0,0.0,0.0
796,ilan,18.09.1980,180.0,69.0,Right Winger,24608.jpg,0.25,0.25,0.25
797,ilir-azemi,21.02.1992,191.0,91.0,Center Forward,166139.jpg,0.0,0.0,0.0
798,immanuel-hoehn,23.12.1991,183.0,72.0,Center Back,162308.jpg,0.0,0.0,0.0
799,iniesta,11.05.1984,170.0,65.0,Left Midfielder,5057.jpg,0.0,0.25,0.125
800,inigo-lopez,23.07.1982,185.0,72.0,,159756.jpg,0.25,0.25,0.25
801,inigo-martinez,17.05.1991,181.0,77.0,Center Back,196420.jpg,0.25,0.25,0.25
802,inigo-perez,18.01.1988,178.0,74.0,Center Midfielder,156543.jpg,0.0,0.0,0.0
804,ioannis-gelios,24.04.1992,190.0,76.0,Goalkeeper,173541.jpg,0.0,0.0,0.0
805,iraizoz,06.03.1981,191.0,81.0,Goalkeeper,7696.jpg,0.0,0.0,0.0
806,iraola,22.06.1982,182.0,75.0,Right Fullback,12212.jpg,0.0,0.25,0.125
807,iriney,23.04.1981,179.0,70.0,Defensive Midfielder,38653.jpg,0.25,0.5,0.375
808,isaac-cuenca,27.04.1991,181.0,74.0,Right Winger,195340.jpg,0.25,0.0,0.125
809,isco,21.04.1992,176.0,74.0,Attacking Midfielder,177605.jpg,0.25,0.25,0.25
811,isma-lopez,19.01.1990,180.0,76.0,,216092.jpg,0.25,0.25,0.25
814,issa-ndoye,12.12.1985,202.0,94.0,Goalkeeper,104273.jpg,1.0,1.0,1.0
815,iturraspe_2,08.03.1989,187.0,75.0,Defensive Midfielder,123837.jpg,0.0,0.25,0.125
816,ivan-klasnic,29.01.1980,186.0,82.0,Center Forward,580.jpg,0.0,0.0,0.0
817,ivan-obradovic,25.07.1988,181.0,74.0,Left Fullback,86306.jpg,0.0,0.25,0.125
818,ivan-perisic,02.02.1989,187.0,80.0,Attacking Midfielder,87877.jpg,0.0,0.25,0.125
819,ivan-rakitic,10.03.1988,184.0,75.0,Attacking Midfielder,35308.jpg,0.0,0.25,0.125
820,ivan-santini,21.05.1989,190.0,84.0,Center Forward,70851.jpg,0.25,0.0,0.125
821,ivica-olic,14.09.1979,183.0,85.0,Left Winger,1091.jpg,0.0,0.0,0.0
822,ivo-ilicevic,14.11.1986,174.0,63.0,Left Midfielder,31182.jpg,0.0,0.25,0.125
823,ja-cheol-koo,27.02.1989,183.0,75.0,Center Midfielder,81422.jpg,0.25,0.5,0.375
827,jack-robinson_2,01.09.1993,168.0,64.0,Left Fullback,165435.jpg,0.25,0.25,0.25
828,jack-rodwell,11.03.1991,188.0,70.0,Defensive Midfielder,102168.jpg,0.5,0.5,0.5
829,jack-wilshere,01.01.1992,170.0,65.0,Attacking Midfielder,122553.jpg,0.0,0.0,0.0
831,jacopo-sala,05.12.1991,185.0,72.0,Right Midfielder,168008.jpg,0.25,0.0,0.125
832,jaime_11,10.12.1980,188.0,80.0,Goalkeeper,44269.jpg,0.0,0.0,0.0
833,jaime_5,31.07.1990,176.0,74.0,Left Midfielder,125069.jpg,0.0,0.0,0.0
835,jake-livermore,14.11.1989,180.0,77.0,Center Midfielder,125592.jpg,0.25,0.25,0.25
836,jakub-blaszczykowski,14.12.1985,175.0,71.0,Right Midfielder,31263.jpg,0.0,0.0,0.0
837,jamel-saihi,27.01.1987,181.0,69.0,Defensive Midfielder,124915.jpg,0.0,0.0,0.0
838,james-collins,23.08.1983,188.0,83.0,Center Back,25543.jpg,0.0,0.0,0.0
842,james-mcclean,22.04.1989,180.0,70.0,Left Winger,124765.jpg,0.0,0.25,0.125
843,james-milner,04.01.1986,170.0,67.0,Right Midfielder,12018.jpg,0.25,0.25,0.25
844,james-morrison,25.05.1986,178.0,64.0,,21732.jpg,0.0,0.0,0.0
845,james-perch,28.09.1985,180.0,72.0,,33530.jpg,0.5,0.5,0.5
847,james-tavernier,31.10.1991,177.0,78.0,,156429.jpg,0.5,0.75,0.625
848,james-tomkins,29.03.1989,191.0,74.0,Center Back,110150.jpg,0.0,0.0,0.0
850,jamie-carragher,28.01.1978,185.0,83.0,Center Back,2753.jpg,0.25,0.25,0.25
853,jan-ingwer-callsen-bracker,23.09.1984,189.0,81.0,Center Back,8127.jpg,0.0,0.0,0.0
854,jan-kirchhoff,01.10.1990,195.0,82.0,Center Back,115586.jpg,0.0,0.25,0.125
855,jan-moravek,01.11.1989,180.0,75.0,Attacking Midfielder,121383.jpg,0.0,0.25,0.125
856,jan-mucha,05.12.1982,189.0,87.0,Goalkeeper,16659.jpg,0.25,0.25,0.25
857,jan-polak,14.03.1981,181.0,77.0,Defensive Midfielder,24500.jpg,0.0,0.0,0.0
858,jan-rosenthal,07.04.1986,186.0,76.0,Attacking Midfielder,35083.jpg,0.0,0.0,0.0
859,jan-schlaudraff,18.07.1983,180.0,72.0,Left Winger,8189.jpg,0.0,0.25,0.125
860,jan-vertonghen,24.04.1987,189.0,79.0,Defensive Midfielder,58311.jpg,0.0,0.0,0.0
861,janek-sternberg,19.10.1992,181.0,78.0,Center Back,155094.jpg,0.0,0.0,0.0
862,janis-blaswich,02.05.1991,193.0,88.0,,144037.jpg,0.25,0.25,0.25
863,jannik-loehden,16.07.1989,201.0,97.0,Center Back,160835.jpg,0.0,0.0,0.0
864,jannik-vestergaard,03.08.1992,197.0,96.0,Center Back,169507.jpg,0.0,0.0,0.0
865,jaroslav-drobny,18.10.1979,192.0,90.0,Goalkeeper,16455.jpg,0.25,0.25,0.25
866,jaroslav-plasil,05.01.1982,183.0,72.0,Right Midfielder,11611.jpg,0.25,0.25,0.25
868,jason-roberts,25.01.1978,186.0,89.0,Center Forward,14005.jpg,0.75,0.75,0.75
870,javi-fuego,04.01.1984,181.0,74.0,Defensive Midfielder,60658.jpg,0.0,0.25,0.125
871,javi-garcia,08.02.1987,186.0,82.0,Defensive Midfielder,27692.jpg,0.0,0.25,0.125
872,javi-guerra,15.03.1983,179.0,77.0,Center Forward,74694.jpg,0.0,0.25,0.125
873,javi-hervas,09.06.1989,177.0,72.0,Center Midfielder,188146.jpg,0.5,0.5,0.5
874,javi-lopez_3,21.01.1986,179.0,76.0,,155227.jpg,0.0,0.25,0.125
875,javi-marquez,11.05.1986,178.0,73.0,Center Midfielder,152622.jpg,0.0,0.0,0.0
876,javi-martinez,02.09.1988,190.0,81.0,Defensive Midfielder,52456.jpg,0.0,0.0,0.0
877,javi-ros,16.02.1990,174.0,69.0,Center Midfielder,143037.jpg,0.25,0.5,0.375
878,javi-varas,10.09.1982,182.0,73.0,Goalkeeper,60247.jpg,0.25,0.25,0.25
879,javier-hernandez_2,01.06.1988,173.0,62.0,,73747.jpg,0.25,0.0,0.125
880,javier-mascherano,08.06.1984,174.0,74.0,Defensive Midfielder,22185.jpg,0.25,0.25,0.25
881,javier-pastore,20.06.1989,187.0,78.0,Attacking Midfielder,97069.jpg,0.25,0.25,0.25
882,javier-pinola,24.02.1983,179.0,77.0,Left Fullback,14113.jpg,0.25,0.25,0.25
883,javier-saviola,11.12.1981,168.0,60.0,Center Forward,1062.jpg,0.25,0.25,0.25
886,jean-armel-kana-biyik,03.07.1989,180.0,78.0,Right Fullback,119236.jpg,0.75,0.75,0.75
888,jean-beausejour,01.06.1984,178.0,81.0,Left Midfielder,23255.jpg,0.5,0.5,0.5
889,jean-christophe-bahebeck,01.05.1993,182.0,76.0,Center Forward,182023.jpg,0.75,1.0,0.875
892,jean-makoun,29.05.1983,172.0,65.0,Defensive Midfielder,11567.jpg,0.75,1.0,0.875
893,jean-pascal-mignot,26.02.1981,183.0,75.0,Center Back,11311.jpg,0.25,0.25,0.25
896,jefferson-farfan,26.10.1984,178.0,84.0,Left Winger,14569.jpg,0.75,0.75,0.75
898,jens-grahl,22.09.1988,193.0,86.0,Goalkeeper,51783.jpg,0.25,0.25,0.25
899,jens-hegeler,22.01.1988,193.0,86.0,Defensive Midfielder,85281.jpg,0.0,0.0,0.0
900,jens-langeneke,29.03.1977,185.0,78.0,Center Back,811.jpg,0.25,0.25,0.25
901,jeremie-aliadiere,30.03.1983,183.0,70.0,,9906.jpg,0.25,0.25,0.25
902,jeremie-brechet,14.08.1979,186.0,76.0,Center Back,3911.jpg,0.0,0.25,0.125
904,jeremy-clement,26.08.1984,174.0,61.0,Defensive Midfielder,21520.jpg,0.25,0.25,0.25
907,jeremy-mathieu,29.10.1983,192.0,83.0,Left Fullback,11706.jpg,0.0,0.0,0.0
908,jeremy-menez,07.05.1987,182.0,73.0,Left Winger,24093.jpg,0.25,0.25,0.25
909,jeremy-morel,02.04.1984,172.0,71.0,Left Fullback,52339.jpg,0.25,0.25,0.25
910,jeremy-pied,23.02.1989,173.0,69.0,,122679.jpg,0.0,0.0,0.0
911,jeremy-toulalan,10.09.1983,183.0,77.0,Defensive Midfielder,11686.jpg,0.25,0.25,0.25
912,jermain-defoe,07.10.1982,170.0,65.0,Center Forward,19312.jpg,0.75,0.75,0.75
913,jermaine-jenas,18.02.1983,179.0,76.0,Center Midfielder,3878.jpg,0.25,0.25,0.25
914,jermaine-jones,03.11.1981,184.0,81.0,Defensive Midfielder,593.jpg,0.25,0.25,0.25
915,jermaine-pennant,15.01.1983,173.0,64.0,Right Midfielder,11907.jpg,0.5,0.5,0.5
917,jerome-boateng,03.09.1988,192.0,90.0,Center Back,44728.jpg,0.75,0.75,0.75
918,jerome-rothen,31.03.1978,177.0,70.0,,9181.jpg,0.0,0.0,0.0
920,jerome-sinclair,20.09.1996,,,,222257.jpg,0.75,0.75,0.75
921,jerome-thomas,23.03.1983,180.0,71.0,,19441.jpg,0.5,0.5,0.5
922,jerry-vandam,08.12.1988,186.0,72.0,Right Fullback,106948.jpg,1.0,1.0,1.0
923,jesse-lingard,15.12.1992,168.0,65.0,,202762.jpg,0.5,0.5,0.5
925,jesus-gamez,10.04.1985,182.0,70.0,Right Fullback,41446.jpg,0.25,0.5,0.375
926,jesus-navas,21.11.1985,172.0,64.0,Right Midfielder,17713.jpg,0.0,0.0,0.0
927,jesus-rueda,19.02.1987,181.0,78.0,,141348.jpg,0.25,0.25,0.25
928,jesus-vazquez,18.01.1980,182.0,78.0,Defensive Midfielder,53954.jpg,0.25,0.5,0.375
929,ji-sung-park,25.02.1981,175.0,70.0,Attacking Midfielder,1332.jpg,0.25,0.25,0.25
930,jimmy-briand,02.08.1985,180.0,74.0,Center Forward,17115.jpg,0.5,0.75,0.625
932,joan-tomas,17.05.1985,167.0,70.0,Left Winger,134640.jpg,0.25,0.25,0.25
933,joao-pereira,25.02.1984,172.0,70.0,Right Fullback,15641.jpg,0.25,0.25,0.25
934,joao-victor,07.11.1988,182.0,77.0,,84193.jpg,0.25,0.25,0.25
935,joaquin,21.07.1981,180.0,76.0,Right Midfielder,1403.jpg,0.5,0.5,0.5
936,joe-allen,14.03.1990,168.0,62.0,Attacking Midfielder,96852.jpg,0.0,0.0,0.0
938,joe-cole,08.11.1981,173.0,64.0,Left Winger,1694.jpg,0.0,0.0,0.0
939,joe-hart,19.04.1987,191.0,80.0,Goalkeeper,50309.jpg,0.0,0.25,0.125
940,joel,17.06.1990,195.0,85.0,Goalkeeper,156795.jpg,0.0,0.25,0.125
941,joel-campbell,26.06.1992,178.0,71.0,,171436.jpg,0.75,0.75,0.75
942,joel-matip,08.08.1991,193.0,89.0,Defensive Midfielder,156057.jpg,0.5,0.75,0.625
945,joey-barton,02.09.1982,175.0,70.0,,12038.jpg,0.0,0.0,0.0
946,joey-obrien,17.02.1986,180.0,69.0,Defensive Midfielder,37577.jpg,0.0,0.0,0.0
947,johan-audel,12.12.1983,180.0,75.0,Left Winger,17387.jpg,0.75,0.75,0.75
949,johan-djourou,18.01.1987,191.0,83.0,Center Back,36689.jpg,0.75,0.75,0.75
954,johannes-flum,14.12.1987,190.0,80.0,Defensive Midfielder,53582.jpg,0.25,0.25,0.25
955,johannes-van-den-bergh,21.11.1986,183.0,75.0,Left Fullback,52125.jpg,0.0,0.0,0.0
956,johannes-wurtz,19.06.1992,182.0,76.0,,189145.jpg,0.0,0.0,0.0
957,john-arne-riise,24.09.1980,185.0,77.0,Left Fullback,2764.jpg,0.0,0.0,0.0
958,john-boye,23.04.1987,184.0,69.0,Right Fullback,118532.jpg,0.75,1.0,0.875
961,john-guidetti,15.04.1992,185.0,79.0,Center Forward,125671.jpg,0.0,0.0,0.0
962,john-mikel,22.04.1987,188.0,86.0,Center Midfielder,32676.jpg,0.75,0.75,0.75
963,john-oshea,30.04.1981,190.0,75.0,Center Back,3857.jpg,0.0,0.25,0.125
964,john-ruddy,24.10.1986,193.0,97.0,Goalkeeper,37123.jpg,0.0,0.0,0.0
965,john-terry,07.12.1980,184.0,75.0,Center Back,10071.jpg,0.0,0.0,0.0
966,john-utaka,08.01.1982,179.0,82.0,Right Winger,1663.jpg,0.75,0.75,0.75
967,johnny-heitinga,15.11.1983,180.0,72.0,Center Back,5051.jpg,0.25,0.25,0.25
968,joleon-lescott,16.08.1982,188.0,83.0,Center Back,12128.jpg,0.5,0.5,0.5
969,jon-flanagan,01.01.1993,180.0,,Right Fullback,178344.jpg,0.0,0.0,0.0
970,jon-walters,20.09.1983,183.0,79.0,,10046.jpg,0.25,0.25,0.25
971,jonas,01.04.1984,181.0,73.0,Center Forward,54471.jpg,0.25,0.25,0.25
972,jonas-gutierrez,05.07.1983,182.0,70.0,,38593.jpg,0.25,0.25,0.25
973,jonas-hofmann,14.07.1992,176.0,67.0,Right Midfielder,173439.jpg,0.0,0.0,0.0
974,jonas-martin,09.04.1990,182.0,70.0,,170708.jpg,0.25,0.0,0.125
975,jonas-olsson,10.03.1983,193.0,84.0,,20936.jpg,0.25,0.25,0.25
977,jonathan-brison,07.02.1983,179.0,72.0,Left Fullback,35286.jpg,0.25,0.25,0.25
978,jonathan-dos-santos,26.04.1990,172.0,74.0,Center Midfielder,154163.jpg,0.5,0.5,0.5
979,jonathan-ligali,28.05.1991,183.0,82.0,Goalkeeper,168555.jpg,0.5,0.5,0.5
980,jonathan-mensah,13.07.1990,188.0,83.0,,129751.jpg,1.0,1.0,1.0
981,jonathan-obika,12.09.1990,183.0,76.0,Center Forward,130579.jpg,0.75,0.75,0.75
982,jonathan-pitroipa,12.04.1986,176.0,56.0,Left Midfielder,23131.jpg,0.75,1.0,0.875
984,jonathan-schmid,26.06.1990,179.0,77.0,Right Midfielder,149628.jpg,0.0,0.0,0.0
985,jonathan-tinhan,01.06.1989,178.0,69.0,Defensive Midfielder,150211.jpg,0.75,0.75,0.75
986,jonathan-viera,21.10.1989,171.0,65.0,Right Winger,172166.jpg,0.25,0.5,0.375
987,jonathan-vila,06.03.1986,186.0,78.0,Center Back,60181.jpg,0.25,0.25,0.25
988,jonathan-zebina,19.07.1978,190.0,84.0,Right Fullback,3521.jpg,0.5,0.5,0.5
989,jonjo-shelvey,27.02.1992,185.0,73.0,,121456.jpg,0.0,0.0,0.0
990,jonny-evans,02.01.1988,188.0,77.0,Center Back,58815.jpg,0.0,0.0,0.0
993,jordan-ayew,11.09.1991,182.0,81.0,Right Winger,158615.jpg,0.75,1.0,0.875
995,jordan-ferri,12.03.1992,172.0,70.0,,199843.jpg,0.5,0.5,0.5
996,jordan-henderson,17.06.1990,182.0,67.0,Right Midfielder,128447.jpg,0.0,0.25,0.125
1000,jordi-alba,21.03.1989,170.0,69.0,Left Fullback,125417.jpg,0.0,0.25,0.125
1001,jordi-amat,21.03.1992,184.0,80.0,Center Back,160328.jpg,0.25,0.5,0.375
1002,jordi-codina,27.04.1982,189.0,87.0,Goalkeeper,46509.jpg,0.25,0.5,0.375
1004,jorge-molina_2,22.04.1982,188.0,87.0,Center Forward,152868.jpg,0.25,0.25,0.25
1006,joris-marveaux,15.08.1982,178.0,69.0,Defensive Midfielder,52333.jpg,0.5,0.5,0.5
1007,jos-hooiveld,22.04.1983,191.0,74.0,Center Back,19851.jpg,0.25,0.25,0.25
1008,jose-angel_3,05.09.1989,182.0,77.0,Left Fullback,134800.jpg,0.0,0.0,0.0
1009,jose-callejon,11.02.1987,179.0,73.0,Center Forward,100909.jpg,0.0,0.0,0.0
1010,jose-campana,31.05.1993,179.0,72.0,Center Midfielder,191656.jpg,0.25,0.25,0.25
1011,jose-carlos_4,17.07.1987,177.0,68.0,Attacking Midfielder,133851.jpg,0.25,0.25,0.25
1012,jose-enrique,23.01.1986,184.0,82.0,Left Fullback,38654.jpg,0.0,0.0,0.0
1014,jose-mari_5,06.12.1987,181.0,65.0,,218685.jpg,0.25,0.25,0.25
1015,jose-nunes,07.03.1977,185.0,82.0,Center Back,26158.jpg,0.0,0.25,0.125
1016,jose-saez,07.05.1982,170.0,63.0,Defensive Midfielder,24119.jpg,0.0,0.25,0.125
1017,joselu_2,27.03.1990,191.0,80.0,Center Forward,142244.jpg,0.25,0.5,0.375
1018,joseph-akpala,24.08.1986,184.0,81.0,Center Forward,55222.jpg,1.0,1.0,1.0
1021,joshua-king,15.01.1992,180.0,74.0,Center Forward,156395.jpg,0.5,0.75,0.625
1022,josue,19.07.1979,170.0,66.0,Defensive Midfielder,41937.jpg,0.25,0.25,0.25
1025,juan-albin,17.07.1986,179.0,77.0,Left Midfielder,43645.jpg,0.25,0.5,0.375
1026,juan-arango,17.05.1980,180.0,76.0,Attacking Midfielder,14530.jpg,0.5,0.25,0.375
1027,juan-bernat,01.03.1993,172.0,67.0,Left Fullback,196427.jpg,0.25,0.25,0.25
1028,juan-carlos_11,30.03.1990,176.0,68.0,Left Midfielder,174471.jpg,0.25,0.25,0.25
1030,juan-dominguez_2,08.01.1990,181.0,71.0,Center Midfielder,152488.jpg,0.25,0.25,0.25
1032,juan-rodriguez,01.04.1982,185.0,80.0,Defensive Midfielder,12526.jpg,0.25,0.25,0.25
1033,juanan,27.04.1987,192.0,87.0,Center Back,120632.jpg,0.0,0.0,0.0
1034,juanfran,15.07.1976,183.0,78.0,Left Fullback,1388.jpg,0.5,0.25,0.375
1035,juanfran_2,09.01.1985,180.0,72.0,Right Fullback,19148.jpg,0.0,0.0,0.0
1036,juanfran_4,11.09.1988,179.0,72.0,Right Winger,109380.jpg,0.5,0.75,0.625
1037,juanlu,18.05.1980,172.0,70.0,,24764.jpg,0.0,0.25,0.125
1038,juanma-ortiz,01.03.1982,179.0,70.0,Right Midfielder,14114.jpg,0.25,0.25,0.25
1039,juanma_4,08.08.1984,188.0,80.0,,24805.jpg,0.0,0.25,0.125
1040,juanmi_4,20.05.1993,170.0,63.0,Center Forward,159740.jpg,0.25,0.5,0.375
1041,julian-baumgartlinger,02.01.1988,183.0,82.0,Defensive Midfielder,59324.jpg,0.25,0.25,0.25
1042,julian-draxler,20.09.1993,185.0,74.0,Attacking Midfielder,174213.jpg,0.0,0.0,0.0
1043,julian-korb,21.03.1992,177.0,69.0,Right Fullback,164414.jpg,0.0,0.25,0.125
1044,julian-riedel,10.08.1991,183.0,73.0,Left Fullback,169275.jpg,0.25,0.25,0.25
1045,julian-schieber,13.02.1989,188.0,83.0,Center Forward,119044.jpg,0.0,0.0,0.0
1046,julian-schuster,15.04.1985,190.0,78.0,Defensive Midfielder,30048.jpg,0.0,0.25,0.125
1048,julien-feret,05.07.1982,186.0,73.0,Right Midfielder,60164.jpg,0.25,0.25,0.25
1051,julien-quercia,17.08.1986,168.0,65.0,Left Winger,41841.jpg,0.25,0.25,0.25
1052,julien-sable,11.09.1980,181.0,73.0,Defensive Midfielder,23336.jpg,0.25,0.25,0.25
1054,julio-baptista,01.10.1981,183.0,72.0,Attacking Midfielder,12551.jpg,0.5,0.75,0.625
1055,julio-cesar_4,03.09.1979,186.0,79.0,Goalkeeper,22961.jpg,0.0,0.25,0.125
1056,junior-diaz,12.09.1983,185.0,76.0,Left Fullback,22976.jpg,0.5,0.75,0.625
1057,junior-fernandes,04.10.1988,181.0,78.0,Center Forward,138106.jpg,0.75,0.75,0.75
1059,jussi-jaeaeskelaeinen,17.04.1975,193.0,80.0,Goalkeeper,8859.jpg,0.0,0.0,0.0
1060,jussie,19.09.1983,180.0,76.0,Left Winger,30432.jpg,0.5,0.5,0.5
1061,kaka,22.04.1982,186.0,78.0,Attacking Midfielder,1134.jpg,0.0,0.0,0.0
1062,kalilou-traore,09.09.1987,192.0,76.0,Defensive Midfielder,148806.jpg,0.75,0.75,0.75
1063,kamel-chafni,11.06.1982,181.0,70.0,Left Midfielder,26115.jpg,0.25,0.25,0.25
1065,karim-ait-fana,25.02.1989,175.0,65.0,Left Winger,124916.jpg,0.25,0.25,0.25
1066,karim-bellarabi,08.04.1990,183.0,76.0,Right Winger,96470.jpg,0.5,0.5,0.5
1067,karim-benzema,19.12.1987,187.0,79.0,Center Forward,29566.jpg,0.0,0.25,0.125
1070,karim-guede,07.01.1985,184.0,85.0,Defensive Midfielder,30198.jpg,0.75,0.75,0.75
1071,karim-haggui,20.01.1984,190.0,86.0,Center Back,18797.jpg,0.25,0.25,0.25
1072,karim-matmour,25.06.1985,181.0,75.0,Right Winger,43209.jpg,0.25,0.25,0.25
1073,karim-rekik,02.12.1994,185.0,79.0,,189552.jpg,0.25,0.25,0.25
1076,kassim-abdallah,09.04.1987,185.0,74.0,,150297.jpg,1.0,1.0,1.0
1077,keiren-westwood,23.10.1984,186.0,87.0,,73328.jpg,0.0,0.25,0.125
1079,ken-ilsoe,02.12.1986,183.0,77.0,Center Forward,116196.jpg,0.25,0.25,0.25
1082,kenwyne-jones,05.10.1984,188.0,78.0,Right Winger,21547.jpg,1.0,1.0,1.0
1084,kevin,13.02.1992,178.0,70.0,Attacking Midfielder,153932.jpg,0.0,0.0,0.0
1087,kevin-de-bruyne,28.06.1991,181.0,76.0,Attacking Midfielder,142263.jpg,0.0,0.0,0.0
1089,kevin-gameiro,09.05.1987,170.0,64.0,Right Winger,36853.jpg,0.0,0.0,0.0
1091,kevin-grosskreutz,19.07.1988,186.0,72.0,Left Winger,59321.jpg,0.0,0.0,0.0
1093,kevin-mirallas,05.10.1987,182.0,75.0,Right Winger,26403.jpg,0.0,0.25,0.125
1095,kevin-nolan,24.06.1982,182.0,88.0,,10038.jpg,0.25,0.25,0.25
